aircraft,status,payload_t,speed_kmh,range_full_km,mtow_t,runway_takeoff_m,fuel,engine_prop,airframe_maint,insurance,personnel,datalink,depreciation,hour_total,landing,handling,parking,navigation,cycle_total,tonkm_rmb,vendor_pr_tonkm,gap_note
TP500 (壹通),取证中-首批运营估算,0.5,260,500,1.5,150,100,125,100,80,100,70,325,900,70,22,43,65,200,7.7,<5 (壹通宣传),厂商低 35%。原因: 厂商目标 650 元/hr 未含全寿命大修分摊; 首批运营按 800-1000 中位 900 (含折旧)
Caravan UAV 首批 (PT6A 平台改装),取证中-首批运营估算,1.088,324,1300,3.5,300,880,800,410,400,280,160,820,3750,130,44,88,88,350,10.9,9-10 (Reliable/Xwing 行业值),一致 (差 9% 以内)
Caravan 208B 有人 (单 PT6A),已大规模运营,1.088,324,1300,3.97,626,1125,945,509,364,873,0,1212,5028,189,134,130,147,600,14.7,Conklin & de Decker $692/hr×7.27=5028 (= 14.7 元/吨km),国际公开数据完全对得上 (误差<3%)
HH-200 首批 (双 AES100/WJ-9),取证中-首批运营估算,1.5,320,1000,4.0,280,1900,1000,750,440,100,160,1650,6000,184,76,127,113,500,12.8,无 (国产首飞中),第一原理估算; 国产涡轴大修费是主要不确定项 (±25%)
Y-12F (双 PT6A-65B),国内未商业货运,2.7,280,1340,5.7,480,2970,970,700,500,1200,0,2660,9000,216,284,160,140,800,12.1,无 (主要出口),国内运营数据缺失; 出口数据未公开
CY-8 长鹰 (双 1100hp 涡桨),取证中-首批运营估算,3.5,380,3000,7.0,280,3500,1900,1000,750,200,200,3200,10750,402,250,310,238,1200,8.2,无 (2026.3 计划首飞),第一原理; 双 1100hp 涡桨大修费不确定 (±20%)
W5000 白鲸 (双涡桨),取证中-首批运营估算,5,526,2600,10.8,700,4000,2400,1050,700,150,230,1970,10500,639,394,529,438,2000,4.2,2.7 (白鲸宣传),厂商低 36%。差距来源: 厂商假设内部油价¥7/kg+装载100%+年飞2000hr+机身¥2000万规模化; 首批按市场价¥8.5/kg+75%+1200hr+¥3500万 → 修正 1.5-2 倍
ATR42-600F 中国首批 (双 PW127M),小规模运营-中国首批,5.5,480,1326,18.6,1165,4860,4000,4400,1800,2400,240,1800,19500,860,853,769,518,3000,7.8,5.9 国际 (Aircraft Cost Calc),中国比国际高 32%。原因: 机场费高+年利用 1500 vs 2500hr+维护工时贵+维护件进口
C909F 圆通 (双 CF34-10A 喷气),小规模运营-2024.6 首飞,9,825,3700,43,1700,12500,3500,2500,1200,2800,0,3500,26000,1049,855,1089,507,3500,3.6,无 (商飞未披露),圆通 2 架; 第一原理用 CF34-10A 双发推算; 比 737-800BCF 同级低 10%
Boeing 737-800BCF (双 CFM56-7B),已大规模运营,23.9,833,3750,79,2400,18880,6000,3000,1500,3500,0,2920,35800,1221,1559,1374,348,4500,1.8,1.7-2.7 元/吨km (BTS Form 41 美国 $5-8.5k/hr 偏低端 $4924),数量级吻合; 中国人工/燃油便宜部分抵消
Boeing 757-200F (双 RB211),已大规模运营,39,850,5800,116,2300,26400,6500,3500,2000,3500,0,4000,45900,1401,2088,1656,357,5500,1.4,1.3-1.6 元/吨km (BTS Form 41 美国 $6-7.5k/hr 中位 $6313),数量级吻合
