aircraft,payload_t,range_full_km,d500_initial,d500_normal,d1000_initial,d1000_normal,d1500_initial,d1500_normal,d2500_initial,d2500_normal,d4000_initial,d4000_normal,note
TP500,0.5,500,10,8,,,,,,,,,业载小+航程极限; 正常运营 = 厂商目标 650 元/hr
Caravan UAV,1.088,1300,12,11,20,18,,,,,,,正常运营 = 规模化 3224 元/hr (Reliable/Xwing 行业模型)
Caravan 有人,1.088,1300,15,15,25,25,,,,,,,已大规模运营 60 年; 单值
HH-200,1.5,1000,13,12,22,19,,,,,,,正常运营 = 厂商目标 4820 元/hr (拆解)
Y-12F,2.7,1340,13,13,21,21,,,,,,,国内未商业货运; 单值
CY-8,3.5,3000,10,9,16,14,22,18,33,27,,,正常运营 = 厂商目标 8530 元/hr (拆解)
W5000,5,2600,7,6,10,8,13,10,19,13,,,正常运营 = 白鲸宣传 6100 元/hr (PR)
ATR42,5.5,1326,10,9,15,13,,,,,,,正常运营 = 国际基准 14500 元/hr (Aircraft Cost Calc)
C909F,9,3700,7,7,10,10,12,12,17,17,,,无规模化数据; 单值
737-800BCF,23.9,3750,7,7,7,7,8,8,11,11,,,大规模运营; 单值
757-200F,39,5800,6,6,6,6,7,7,9,9,12,12,大规模运营; 单值
